Date,Store ID,Product ID,Category,Region,Weather Condition,Seasonality,Units Sold,Price,Discount,Inventory Level,Demand Forecast,Holiday/Promotion,Competitor Pricing,Location,month,season
2023-01-01,S5,P353,Bakery,East,Sunny,High,121,9.76,0.09,977,126,0,7.23,Norwich,1,Winter
2023-01-01,S5,P780,Dairy,West,Cloudy,Low,123,6.85,0.25,500,131,0,5.88,Bristol,1,Winter
2023-01-01,S5,P569,Snacks,East,Sunny,Medium,83,9.81,0.15,875,73,0,8.15,Norwich,1,Winter
2023-01-01,S5,P383,Produce,East,Sunny,Low,80,1.22,0.19,116,83,1,5.23,Norwich,1,Winter
2023-01-02,S1,P472,Beverages,South,Sunny,Low,169,9.35,0.13,280,178,0,9.82,London,1,Winter
2023-01-02,S1,P290,Bakery,North,Sunny,High,81,6.01,0.28,669,88,1,1.63,Leeds,1,Winter
2023-01-02,S1,P387,Dairy,East,Stormy,Low,89,5.66,0.26,884,94,0,2.23,Norwich,1,Winter
2023-01-02,S1,P138,Snacks,North,Sunny,Medium,113,1.73,0.0,135,116,0,6.85,Leeds,1,Winter
2023-01-02,S1,P499,Produce,South,Cloudy,Low,71,4.38,0.03,826,77,0,3.95,London,1,Winter
2023-01-02,S2,P791,Beverages,South,Cloudy,Low,104,7.93,0.06,104,160,0,8.58,London,1,Winter
2023-01-02,S2,P449,Bakery,East,Rainy,Low,78,2.19,0.29,205,86,0,8.16,Manchester,1,Winter
2023-01-02,S2,P703,Dairy,South,Sunny,Low,84,2.56,0.05,901,81,0,1.84,London,1,Winter
2023-01-02,S2,P336,Snacks,North,Rainy,Medium,133,6.91,0.13,960,138,0,3.23,Leeds,1,Winter
2023-01-02,S2,P534,Produce,North,Sunny,Low,113,4.12,0.14,456,107,0,6.54,Leeds,1,Winter
2023-01-02,S3,P199,Beverages,South,Sunny,Low,161,9.4,0.15,424,166,0,6.54,London,1,Winter
2023-01-02,S3,P858,Bakery,South,Sunny,Medium,102,4.49,0.19,790,92,0,6.63,London,1,Winter
2023-01-02,S3,P516,Dairy,West,Stormy,Low,113,1.62,0.03,997,119,0,6.56,Bristol,1,Winter
2023-01-02,S3,P189,Snacks,West,Sunny,Medium,75,5.46,0.21,725,68,0,8.9,Bristol,1,Winter
2023-01-02,S3,P828,Produce,North,Stormy,Medium,83,4.81,0.17,838,90,1,4.71,Leeds,1,Winter
2023-01-02,S4,P195,Beverages,West,Cloudy,Medium,165,7.66,0.07,897,170,1,5.55,Manchester,1,Winter
2023-01-02,S4,P828,Bakery,South,Sunny,Low,77,1.48,0.29,175,86,0,9.61,London,1,Winter
2023-01-02,S4,P950,Dairy,South,Rainy,Medium,79,7.05,0.23,250,78,0,2.02,London,1,Winter
2023-01-02,S4,P285,Snacks,East,Stormy,Low,75,7.63,0.16,942,74,0,2.29,Norwich,1,Winter
2023-01-02,S4,P591,Produce,North,Sunny,Low,91,8.4,0.21,616,88,0,3.1,Leeds,1,Winter
2023-01-02,S5,P595,Beverages,North,Sunny,High,154,9.53,0.3,231,162,0,7.37,Leeds,1,Winter
2023-01-02,S5,P544,Bakery,West,Rainy,Medium,93,5.22,0.02,575,89,0,8.41,Bristol,1,Winter
2023-01-02,S5,P100,Dairy,East,Rainy,High,99,4.37,0.09,923,100,0,4.93,Norwich,1,Winter
2023-01-02,S5,P784,Snacks,West,Rainy,Low,96,7.26,0.02,146,86,0,7.26,Manchester,1,Winter
2023-01-02,S5,P472,Produce,South,Rainy,High,105,1.41,0.08,835,102,0,4.55,London,1,Winter
2023-01-03,S1,P221,Beverages,West,Rainy,Low,134,4.24,0.08,601,143,0,3.52,Bristol,1,Winter
2023-01-03,S1,P560,Bakery,West,Sunny,Low,82,1.69,0.28,982,73,0,6.52,Manchester,1,Winter
2023-01-03,S1,P109,Dairy,West,Cloudy,Medium,93,8.0,0.14,338,99,0,6.35,Bristol,1,Winter
2023-01-03,S1,P560,Snacks,North,Sunny,Medium,76,3.46,0.02,617,70,0,5.81,Leeds,1,Winter
2023-01-03,S1,P969,Produce,East,Rainy,Medium,93,2.16,0.29,816,90,0,8.9,Norwich,1,Winter
2023-01-03,S2,P899,Beverages,South,Sunny,Low,118,7.04,0.16,217,108,0,3.77,London,1,Winter
2023-01-03,S2,P153,Bakery,West,Rainy,High,79,1.26,0.23,952,75,0,8.25,Bristol,1,Winter
2023-01-03,S2,P521,Dairy,West,Sunny,Low,94,6.31,0.12,958,89,0,7.54,Bristol,1,Winter
2023-01-03,S2,P580,Snacks,West,Stormy,Low,138,8.17,0.14,500,132,0,3.32,Bristol,1,Winter
2023-01-03,S2,P645,Produce,South,Sunny,Low,104,6.7,0.07,982,109,0,5.14,London,1,Winter
2023-01-03,S3,P194,Beverages,East,Sunny,Medium,139,9.07,0.14,192,147,1,6.42,Norwich,1,Winter
2023-01-03,S3,P502,Bakery,North,Sunny,Low,78,2.59,0.03,612,81,0,4.2,Leeds,1,Winter
2023-01-03,S3,P645,Dairy,North,Rainy,Medium,86,8.86,0.28,672,83,0,8.81,Leeds,1,Winter
2023-01-03,S3,P724,Snacks,East,Sunny,Low,104,4.33,0.15,573,95,0,5.78,Manchester,1,Winter
2023-01-03,S3,P464,Produce,South,Sunny,Low,111,5.61,0.16,373,115,0,5.79,London,1,Winter
2023-01-03,S4,P291,Beverages,North,Cloudy,Low,156,6.08,0.25,185,162,0,2.08,Leeds,1,Winter
2023-01-03,S4,P624,Bakery,West,Sunny,Low,94,6.26,0.22,722,102,0,4.88,Bristol,1,Winter
2023-01-03,S4,P653,Dairy,North,Sunny,High,143,6.47,0.07,414,133,1,6.45,Leeds,1,Winter
2023-01-03,S4,P536,Snacks,South,Sunny,Low,123,1.79,0.24,763,131,0,1.72,London,1,Winter
2023-01-03,S4,P642,Produce,West,Rainy,High,99,9.07,0.17,174,105,0,8.35,Bristol,1,Winter
2023-01-03,S5,P705,Beverages,West,Cloudy,High,155,5.29,0.25,744,163,0,3.91,Bristol,1,Winter
2023-01-03,S5,P823,Bakery,North,Cloudy,Medium,135,7.37,0.23,649,128,0,2.39,Leeds,1,Winter
2023-01-03,S5,P944,Dairy,East,Rainy,Low,141,5.94,0.06,267,135,0,3.29,Norwich,1,Winter
2023-01-03,S5,P428,Snacks,North,Sunny,Medium,61,6.45,0.24,194,62,1,8.48,Leeds,1,Winter
2023-01-03,S5,P433,Produce,North,Cloudy,High,109,8.58,0.04,972,101,0,8.2,Leeds,1,Winter
2023-01-04,S1,P824,Beverages,North,Cloudy,Medium,181,5.71,0.11,848,178,0,7.15,Leeds,1,Winter
2023-01-04,S1,P394,Bakery,West,Sunny,Medium,121,5.52,0.07,324,118,0,5.79,Bristol,1,Winter
2023-01-04,S1,P203,Dairy,East,Rainy,Medium,83,4.0,0.22,653,73,0,8.15,Norwich,1,Winter
2023-01-04,S1,P577,Snacks,East,Rainy,High,116,8.01,0.04,295,115,0,7.86,Norwich,1,Winter
2023-01-04,S1,P964,Produce,South,Cloudy,Low,120,8.62,0.04,795,124,0,5.86,London,1,Winter
2023-01-04,S2,P423,Beverages,West,Cloudy,Low,176,7.45,0.18,759,171,0,9.18,Bristol,1,Winter
2023-01-04,S2,P233,Bakery,West,Sunny,Low,139,6.53,0.27,715,143,0,6.5,Bristol,1,Winter
2023-01-04,S2,P715,Dairy,West,Rainy,Low,87,1.62,0.02,561,77,1,9.33,Bristol,1,Winter
2023-01-04,S2,P913,Snacks,North,Stormy,High,126,2.12,0.28,930,130,0,3.05,Leeds,1,Winter
2023-01-04,S2,P760,Produce,East,Sunny,Low,79,5.84,0.28,485,85,0,5.33,Norwich,1,Winter
2023-01-04,S3,P739,Beverages,East,Sunny,High,116,3.23,0.17,279,122,0,9.23,Manchester,1,Winter
2023-01-04,S3,P384,Bakery,East,Sunny,Low,101,9.78,0.14,247,98,0,1.77,Norwich,1,Winter
2023-01-04,S3,P660,Dairy,East,Rainy,Low,70,7.75,0.06,822,76,0,5.21,Norwich,1,Winter
2023-01-04,S3,P528,Snacks,North,Sunny,Medium,127,4.97,0.12,777,124,0,1.93,Leeds,1,Winter
2023-01-04,S3,P154,Produce,East,Cloudy,Low,46,9.08,0.16,186,42,1,8.56,Norwich,1,Winter
2023-01-04,S4,P448,Beverages,West,Sunny,Low,164,1.18,0.03,338,168,0,8.99,Bristol,1,Winter
2023-01-04,S4,P363,Bakery,South,Cloudy,High,77,6.43,0.24,551,80,1,2.27,London,1,Winter
2023-01-04,S4,P834,Dairy,East,Cloudy,Low,66,9.03,0.25,622,67,0,4.42,Norwich,1,Winter
2023-01-04,S4,P631,Snacks,North,Sunny,Medium,135,4.26,0.26,966,141,1,7.87,Leeds,1,Winter
2023-01-04,S4,P813,Produce,South,Sunny,High,93,1.2,0.08,651,91,0,4.62,London,1,Winter
2023-01-04,S5,P857,Beverages,South,Cloudy,High,176,5.73,0.05,826,175,0,8.4,London,1,Winter
2023-01-04,S5,P455,Bakery,North,Sunny,Medium,120,2.86,0.0,126,117,1,8.87,Leeds,1,Winter
2023-01-04,S5,P709,Dairy,West,Rainy,Medium,109,6.16,0.25,575,100,0,4.8,Bristol,1,Winter
2023-01-04,S5,P921,Snacks,East,Sunny,Low,95,9.24,0.22,843,99,0,5.28,Norwich,1,Winter
2023-01-04,S5,P763,Produce,South,Sunny,Medium,124,3.43,0.16,566,126,0,1.46,London,1,Winter
2023-01-05,S1,P581,Beverages,North,Cloudy,Low,141,5.46,0.21,141,160,0,1.68,Leeds,1,Winter
2023-01-05,S1,P328,Bakery,West,Rainy,Low,93,6.31,0.11,143,99,0,9.66,Bristol,1,Winter
2023-01-05,S1,P429,Dairy,North,Sunny,Low,121,7.59,0.24,826,118,0,6.74,Leeds,1,Winter
2023-01-05,S1,P636,Snacks,South,Sunny,Low,102,9.89,0.28,146,108,0,6.29,London,1,Winter
2023-01-05,S1,P893,Produce,North,Sunny,Low,107,2.73,0.03,926,116,1,5.27,Leeds,1,Winter
2023-01-05,S2,P501,Beverages,East,Cloudy,Low,138,6.37,0.07,287,138,0,8.96,Norwich,1,Winter
2023-01-05,S2,P282,Bakery,East,Sunny,Low,115,3.87,0.19,115,119,0,8.89,Norwich,1,Winter
2023-01-05,S2,P410,Dairy,East,Cloudy,Low,103,8.87,0.16,515,106,1,1.63,Norwich,1,Winter
2023-01-05,S2,P128,Snacks,South,Sunny,Low,151,3.45,0.12,458,157,0,7.59,London,1,Winter
2023-01-05,S2,P102,Produce,North,Sunny,Low,86,3.67,0.07,764,90,0,9.19,Leeds,1,Winter
2023-01-05,S3,P684,Beverages,East,Sunny,Medium,169,9.5,0.14,944,162,1,7.69,Manchester,1,Winter
2023-01-05,S3,P670,Bakery,West,Stormy,Medium,95,6.47,0.15,429,93,0,4.46,Bristol,1,Winter
2023-01-05,S3,P852,Dairy,South,Cloudy,Low,128,7.26,0.05,259,132,0,6.61,London,1,Winter
2023-01-05,S3,P188,Snacks,North,Cloudy,High,88,5.12,0.12,734,79,0,9.0,Leeds,1,Winter
2023-01-05,S3,P431,Produce,South,Cloudy,Medium,82,4.68,0.11,427,89,0,1.44,London,1,Winter
2023-01-05,S4,P553,Beverages,North,Sunny,Medium,139,1.69,0.26,139,160,0,5.64,Leeds,1,Winter
2023-01-05,S4,P797,Bakery,East,Sunny,Medium,67,8.91,0.24,267,72,0,2.42,Norwich,1,Winter
2023-01-05,S4,P780,Dairy,North,Cloudy,Medium,109,7.12,0.19,521,111,0,8.93,Leeds,1,Winter
2023-01-05,S4,P925,Snacks,North,Sunny,High,92,7.69,0.05,455,93,0,7.81,Leeds,1,Winter
2023-01-05,S4,P394,Produce,South,Sunny,Medium,83,9.83,0.19,322,85,0,1.08,London,1,Winter
2023-01-05,S5,P774,Beverages,West,Sunny,Medium,160,4.08,0.19,321,169,0,8.1,Bristol,1,Winter
2023-01-05,S5,P963,Bakery,West,Sunny,Low,100,7.37,0.02,985,107,0,6.59,Bristol,1,Winter
2023-01-05,S5,P405,Dairy,South,Stormy,High,88,7.82,0.01,132,96,0,5.4,London,1,Winter
2023-01-05,S5,P558,Snacks,South,Sunny,Low,107,5.22,0.28,198,107,0,2.47,London,1,Winter
2023-01-05,S5,P983,Produce,West,Sunny,Medium,74,9.56,0.05,703,68,0,9.19,Bristol,1,Winter
2023-01-06,S1,P183,Beverages,South,Cloudy,Medium,167,3.81,0.1,626,173,0,2.8,London,1,Winter
2023-01-06,S1,P892,Bakery,West,Sunny,High,110,2.67,0.26,408,117,0,5.08,Bristol,1,Winter
2023-01-06,S1,P298,Dairy,East,Cloudy,Low,99,9.21,0.29,657,95,0,1.01,Norwich,1,Winter
2023-01-06,S1,P372,Snacks,South,Rainy,Medium,99,1.58,0.17,216,101,0,4.9,London,1,Winter
2023-01-06,S1,P820,Produce,West,Sunny,Medium,71,4.56,0.29,265,61,0,7.25,Bristol,1,Winter
2023-01-06,S2,P201,Beverages,North,Sunny,Medium,144,9.88,0.04,691,134,0,2.89,Leeds,1,Winter
2023-01-06,S2,P813,Bakery,West,Sunny,Low,91,5.66,0.03,688,82,0,4.57,Bristol,1,Winter
2023-01-06,S2,P265,Dairy,East,Sunny,Medium,107,2.12,0.27,108,105,1,1.47,Norwich,1,Winter
2023-01-06,S2,P469,Snacks,West,Cloudy,Medium,102,8.22,0.1,350,107,0,6.95,Bristol,1,Winter
2023-01-06,S2,P489,Produce,South,Cloudy,Medium,133,6.34,0.2,636,136,0,2.97,London,1,Winter
2023-01-06,S3,P455,Beverages,North,Sunny,Medium,140,6.93,0.15,693,134,0,6.88,Leeds,1,Winter
2023-01-06,S3,P451,Bakery,West,Stormy,Medium,112,1.65,0.01,452,121,0,2.57,Bristol,1,Winter
2023-01-06,S3,P904,Dairy,West,Cloudy,Medium,79,5.54,0.16,707,70,0,1.26,Bristol,1,Winter
2023-01-06,S3,P611,Snacks,West,Cloudy,High,67,6.33,0.27,367,71,0,5.19,Bristol,1,Winter
2023-01-06,S3,P836,Produce,East,Cloudy,Medium,88,6.42,0.19,625,82,1,2.63,Norwich,1,Winter
2023-01-06,S4,P652,Beverages,South,Sunny,Medium,180,6.96,0.03,244,171,0,9.72,London,1,Winter
2023-01-06,S4,P262,Bakery,North,Sunny,Medium,136,6.39,0.12,402,139,0,8.95,Leeds,1,Winter
2023-01-06,S4,P691,Dairy,South,Sunny,Medium,96,6.29,0.28,412,96,0,2.51,London,1,Winter
2023-01-06,S4,P786,Snacks,North,Rainy,Medium,77,7.35,0.13,466,86,0,2.85,Leeds,1,Winter
2023-01-06,S4,P981,Produce,South,Sunny,Medium,97,9.4,0.09,790,104,0,2.34,London,1,Winter
2023-01-06,S5,P315,Beverages,East,Sunny,High,129,6.75,0.26,322,130,0,5.7,Norwich,1,Winter
2023-01-06,S5,P393,Bakery,West,Sunny,Low,85,2.7,0.22,768,89,0,8.81,Bristol,1,Winter
2023-01-06,S5,P901,Dairy,North,Cloudy,High,110,7.15,0.15,244,116,0,8.78,Leeds,1,Winter
2023-01-06,S5,P687,Snacks,East,Stormy,Medium,78,6.93,0.12,168,69,0,4.14,Norwich,1,Winter
2023-01-06,S5,P803,Produce,South,Sunny,High,113,9.94,0.23,856,106,0,7.65,London,1,Winter
2023-01-07,S1,P709,Beverages,North,Cloudy,High,168,8.9,0.1,464,164,0,2.08,Leeds,1,Winter
2023-01-07,S1,P700,Bakery,North,Sunny,Low,97,4.57,0.21,927,103,0,6.37,Leeds,1,Winter
2023-01-07,S1,P390,Dairy,West,Sunny,Medium,109,7.83,0.15,184,104,0,5.67,Bristol,1,Winter
2023-01-07,S1,P728,Snacks,North,Sunny,Low,79,4.59,0.17,399,74,0,4.55,Leeds,1,Winter
2023-01-07,S1,P913,Produce,South,Cloudy,Medium,94,9.07,0.02,498,98,0,9.34,London,1,Winter
2023-01-07,S2,P423,Beverages,North,Sunny,Low,175,2.5,0.19,472,179,0,3.77,Leeds,1,Winter
2023-01-07,S2,P255,Bakery,East,Rainy,Low,85,9.79,0.25,449,84,0,7.13,Norwich,1,Winter
2023-01-07,S2,P138,Dairy,North,Sunny,Low,131,8.14,0.06,135,121,0,1.78,Leeds,1,Winter
2023-01-07,S2,P271,Snacks,West,Rainy,Low,150,8.14,0.19,477,155,0,9.15,Bristol,1,Winter
2023-01-07,S2,P148,Produce,South,Sunny,Low,108,7.59,0.26,266,101,0,1.86,London,1,Winter
2023-01-07,S3,P538,Beverages,South,Sunny,Low,148,5.82,0.05,904,148,0,6.46,London,1,Winter
2023-01-07,S3,P749,Bakery,North,Sunny,Medium,121,5.47,0.3,902,120,0,7.08,Leeds,1,Winter
2023-01-07,S3,P473,Dairy,North,Cloudy,Medium,106,6.21,0.08,135,98,0,9.05,Leeds,1,Winter
2023-01-07,S3,P172,Snacks,West,Sunny,Low,89,6.55,0.13,927,86,0,8.2,Bristol,1,Winter
2023-01-07,S3,P329,Produce,West,Rainy,Medium,76,7.03,0.3,869,85,0,9.96,Bristol,1,Winter
2023-01-07,S4,P363,Beverages,South,Rainy,High,125,2.58,0.21,410,130,0,1.87,London,1,Winter
2023-01-07,S4,P111,Bakery,North,Sunny,High,53,2.08,0.29,729,54,1,9.34,Leeds,1,Winter
2023-01-07,S4,P420,Dairy,North,Rainy,Low,90,3.31,0.24,899,85,0,8.43,Leeds,1,Winter
2023-01-07,S4,P599,Snacks,South,Sunny,Low,86,4.43,0.1,860,95,0,3.75,London,1,Winter
2023-01-07,S4,P801,Produce,East,Stormy,High,76,2.46,0.24,242,75,1,8.66,Norwich,1,Winter
2023-01-07,S5,P111,Beverages,East,Sunny,Medium,166,5.79,0.22,166,177,0,3.74,Norwich,1,Winter
2023-01-07,S5,P498,Bakery,North,Sunny,Low,121,3.01,0.29,867,111,1,6.18,Leeds,1,Winter
2023-01-07,S5,P263,Dairy,East,Sunny,Medium,86,5.52,0.12,124,77,0,2.1,Norwich,1,Winter
2023-01-07,S5,P636,Snacks,East,Stormy,Medium,110,9.69,0.13,752,105,1,8.88,Norwich,1,Winter
2023-01-07,S5,P771,Produce,North,Sunny,Medium,73,6.08,0.06,444,77,0,9.95,Leeds,1,Winter
2023-01-08,S1,P556,Beverages,East,Sunny,Low,118,2.09,0.09,982,108,0,7.22,Manchester,1,Winter
2023-01-08,S1,P359,Bakery,West,Stormy,High,69,6.62,0.16,330,61,0,8.13,Bristol,1,Winter
2023-01-08,S1,P618,Dairy,East,Sunny,High,118,7.6,0.23,609,113,0,2.2,Manchester,1,Winter
2023-01-08,S1,P690,Snacks,North,Cloudy,Low,70,1.11,0.07,312,63,0,1.58,Leeds,1,Winter
2023-01-08,S1,P564,Produce,East,Sunny,Medium,103,5.49,0.08,728,112,0,2.35,Norwich,1,Winter
2023-01-08,S2,P723,Beverages,West,Rainy,High,170,4.53,0.29,724,168,1,8.08,Bristol,1,Winter
2023-01-08,S2,P524,Bakery,North,Cloudy,Low,106,3.51,0.28,331,97,0,6.73,Leeds,1,Winter
2023-01-08,S2,P875,Dairy,East,Sunny,Low,97,8.94,0.03,548,94,0,1.43,Norwich,1,Winter
2023-01-08,S2,P604,Snacks,East,Cloudy,Low,119,1.64,0.0,744,122,0,4.49,Manchester,1,Winter
2023-01-08,S2,P327,Produce,East,Stormy,High,87,4.71,0.16,451,91,0,4.82,Manchester,1,Winter
2023-01-08,S3,P467,Beverages,West,Cloudy,Medium,173,3.05,0.29,562,166,0,2.09,Bristol,1,Winter
2023-01-08,S3,P689,Bakery,North,Rainy,Medium,87,9.82,0.18,792,78,1,5.69,Leeds,1,Winter
2023-01-08,S3,P622,Dairy,South,Sunny,High,118,3.02,0.11,926,125,0,4.5,London,1,Winter
2023-01-08,S3,P889,Snacks,West,Sunny,Low,104,6.81,0.09,643,105,0,8.91,Manchester,1,Winter
2023-01-08,S3,P332,Produce,East,Sunny,Medium,96,5.14,0.25,459,96,0,2.63,Norwich,1,Winter
2023-01-08,S4,P355,Beverages,South,Cloudy,Low,184,1.97,0.21,535,192,0,2.92,London,1,Winter
2023-01-08,S4,P506,Bakery,West,Sunny,Medium,106,7.82,0.22,614,102,0,6.09,Bristol,1,Winter
2023-01-08,S4,P207,Dairy,East,Cloudy,Medium,104,8.31,0.22,614,103,1,1.89,Norwich,1,Winter
2023-01-08,S4,P965,Snacks,East,Sunny,Medium,75,8.34,0.18,165,84,0,8.05,Norwich,1,Winter
2023-01-08,S4,P697,Produce,South,Cloudy,Low,84,9.62,0.11,686,79,0,8.58,London,1,Winter
2023-01-08,S5,P923,Beverages,East,Stormy,Low,162,5.04,0.22,635,157,0,2.24,Norwich,1,Winter
2023-01-08,S5,P568,Bakery,South,Rainy,Low,69,8.15,0.03,218,61,0,5.59,London,1,Winter
2023-01-08,S5,P827,Dairy,North,Rainy,Medium,125,6.05,0.18,261,133,0,6.42,Leeds,1,Winter
2023-01-08,S5,P916,Snacks,East,Sunny,Low,122,7.37,0.24,803,128,0,4.36,Norwich,1,Winter
2023-01-08,S5,P282,Produce,North,Sunny,Low,87,6.38,0.22,924,93,1,6.78,Leeds,1,Winter
2023-01-09,S1,P297,Beverages,West,Sunny,Low,167,9.55,0.06,599,169,0,4.01,Bristol,1,Winter
2023-01-09,S1,P718,Bakery,North,Rainy,Medium,117,7.28,0.28,662,120,1,3.33,Leeds,1,Winter
2023-01-09,S1,P680,Dairy,North,Sunny,Medium,113,7.35,0.19,737,103,0,5.47,Leeds,1,Winter
2023-01-09,S1,P891,Snacks,North,Sunny,Low,97,3.03,0.04,668,90,0,6.91,Leeds,1,Winter
2023-01-09,S1,P824,Produce,South,Sunny,Low,117,9.77,0.11,717,115,0,3.41,London,1,Winter
2023-01-09,S2,P912,Beverages,West,Sunny,Low,136,9.16,0.04,295,131,0,7.95,Bristol,1,Winter
2023-01-09,S2,P738,Bakery,East,Sunny,Medium,101,9.43,0.02,591,95,0,6.62,Norwich,1,Winter
2023-01-09,S2,P413,Dairy,North,Sunny,Medium,110,2.78,0.17,470,108,1,6.48,Leeds,1,Winter
2023-01-09,S2,P260,Snacks,South,Cloudy,Medium,105,5.91,0.29,672,103,0,7.51,London,1,Winter
2023-01-09,S2,P522,Produce,South,Rainy,Medium,88,3.04,0.25,941,93,0,9.51,London,1,Winter
2023-01-09,S3,P156,Beverages,South,Sunny,High,182,3.62,0.24,393,190,0,5.13,London,1,Winter
2023-01-09,S3,P930,Bakery,North,Sunny,Low,94,2.48,0.1,977,91,0,1.16,Leeds,1,Winter
2023-01-09,S3,P312,Dairy,East,Cloudy,High,94,9.86,0.23,546,86,0,1.85,Manchester,1,Winter
2023-01-09,S3,P143,Snacks,North,Sunny,Medium,68,4.35,0.14,478,76,0,7.98,Leeds,1,Winter
2023-01-09,S3,P878,Produce,West,Sunny,Low,125,3.49,0.09,658,132,0,9.07,Bristol,1,Winter
2023-01-09,S4,P653,Beverages,West,Rainy,Medium,135,3.85,0.26,358,130,0,2.52,Manchester,1,Winter
2023-01-09,S4,P319,Bakery,North,Sunny,Low,115,3.82,0.24,465,116,0,8.94,Leeds,1,Winter
2023-01-09,S4,P913,Dairy,East,Stormy,Medium,111,9.86,0.2,368,105,0,9.97,Norwich,1,Winter
2023-01-09,S4,P636,Snacks,East,Rainy,Medium,83,8.72,0.25,533,83,0,7.84,Norwich,1,Winter
2023-01-09,S4,P549,Produce,East,Rainy,Low,111,3.29,0.25,687,101,0,2.56,Manchester,1,Winter
2023-01-09,S5,P774,Beverages,West,Stormy,Medium,158,4.92,0.17,372,162,0,5.24,Bristol,1,Winter
2023-01-09,S5,P958,Bakery,East,Sunny,Medium,75,1.96,0.09,347,73,0,2.57,Norwich,1,Winter
2023-01-09,S5,P759,Dairy,West,Stormy,Low,95,8.8,0.06,242,98,0,1.3,Bristol,1,Winter
2023-01-09,S5,P753,Snacks,West,Cloudy,Medium,88,8.1,0.2,309,79,0,8.87,Manchester,1,Winter
2023-01-09,S5,P987,Produce,South,Sunny,High,56,9.79,0.03,695,59,0,4.79,London,1,Winter
2023-01-10,S1,P253,Beverages,South,Sunny,High,166,3.63,0.27,525,168,0,8.56,London,1,Winter
2023-01-10,S1,P426,Bakery,South,Cloudy,Low,89,8.85,0.03,536,87,0,1.87,London,1,Winter
2023-01-10,S1,P419,Dairy,North,Sunny,Low,116,6.39,0.09,433,109,0,1.43,Leeds,1,Winter
2023-01-10,S1,P875,Snacks,South,Rainy,Medium,97,8.15,0.01,134,91,0,8.1,London,1,Winter
2023-01-10,S1,P403,Produce,West,Sunny,Medium,96,7.64,0.16,423,86,0,1.58,Bristol,1,Winter
2023-01-10,S2,P107,Beverages,North,Rainy,Low,148,2.24,0.1,919,156,0,6.46,Leeds,1,Winter
2023-01-10,S2,P649,Bakery,West,Cloudy,Medium,117,7.09,0.04,871,118,0,5.39,Bristol,1,Winter
2023-01-10,S2,P293,Dairy,West,Rainy,Medium,145,1.64,0.08,672,142,0,1.41,Bristol,1,Winter
2023-01-10,S2,P566,Snacks,West,Sunny,Medium,102,5.26,0.19,241,108,0,3.53,Bristol,1,Winter
2023-01-10,S2,P752,Produce,North,Sunny,Low,93,8.22,0.17,417,91,0,1.4,Leeds,1,Winter
